"dS","U:0","U:1","U:2","MaU","T","T0","U0:0","U0:1","U0:2","p","p0","potential","rho","rho0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0022295458612302,-0.00212076166644692,-0.396617442369461,0,0.396863907575607,1.04872620105743,1.04998707771301,1.33880803332431e-006,-0.394706815481186,0,0.748051464557648,0.749981164932251,0.935973227024078,0.998613357543945,0.999987244606018,1,0,2,-0.100000001490116,0
-0.00230533754435778,-0.00215446390211582,-0.396627515554428,0,0.396878153085709,1.04870522022247,1.04998683929443,1.41934344810579e-006,-0.394706785678864,0,0.748049020767212,0.749981045722961,0.935973227024078,0.998630046844482,0.999987363815308,1,0.00600000470876694,2,-0.0939999967813492,0
-0.00237926239143968,-0.00218697031959891,-0.396636694669724,0,0.396891355514526,1.04868495464325,1.04998648166656,1.46559932545642e-006,-0.394706785678864,0,0.748047292232513,0.749980926513672,0.935973227024078,0.998647034168243,0.999987483024597,1,0.0120000019669533,2,-0.0879999995231628,0
-0.002449453768569,-0.00221708626486361,-0.396644175052643,0,0.396902471780777,1.04866623878479,1.04998624324799,1.44329692375322e-006,-0.394706755876541,0,0.748047053813934,0.749980866909027,0.935973227024078,0.998664498329163,0.999987602233887,1,0.0179999992251396,2,-0.0820000022649765,0
-0.00251552954218602,-0.00224465224891901,-0.396649807691574,0,0.39691150188446,1.04864931106567,1.04998600482941,1.36146229579026e-006,-0.394706755876541,0,0.748048424720764,0.749980747699738,0.935973227024078,0.998682498931885,0.999987661838531,1,0.0240000039339066,2,-0.0759999975562096,0
-0.00257954738713823,-0.00227094348520041,-0.396654576063156,0,0.39691948890686,1.04863309860229,1.04998588562012,1.24986161154084e-006,-0.394706726074219,0,0.748050510883331,0.749980688095093,0.935973227024078,0.998700737953186,0.999987721443176,1,0.0300000011920929,2,-0.0700000002980232,0
-0.0026371052156247,-0.00229317485354841,-0.396656602621078,0,0.39692422747612,1.04861950874329,1.04998576641083,1.0721755643317e-006,-0.394706696271896,0,0.7480548620224,0.749980628490448,0.935973227024078,0.998719573020935,0.999987721443176,1,0.0359999984502792,2,-0.0640000030398369,0
-0.00269231883538884,-0.00231397594325244,-0.396657705307007,0,0.396927863359451,1.04860687255859,1.04998576641083,8.81561447840795e-007,-0.394706666469574,0,0.748059988021851,0.749980568885803,0.935973227024078,0.998738527297974,0.999987721443176,1,0.0420000031590462,2,-0.0579999983310699,0
-0.00274284382765516,-0.00233191601000726,-0.396656960248947,0,0.396929293870926,1.04859590530396,1.04998564720154,6.65091533846862e-007,-0.394706606864929,0,0.748066604137421,0.749980509281158,0.935973227024078,0.998757719993591,0.999987661838531,1,0.0480000004172325,2,-0.0520000010728836,0
-0.00278820349532947,-0.00234684511087835,-0.396654397249222,0,0.396928519010544,1.04858684539795,1.04998564720154,4.40769383658335e-007,-0.394706606864929,0,0.748074650764465,0.749980509281158,0.935973227024078,0.998777151107788,0.999987661838531,1,0.0540000014007092,2,-0.046000000089407,0
-0.00283098048502273,-0.00236026896163821,-0.39665088057518,0,0.396926641464233,1.04857861995697,1.04998564720154,2.12521101161656e-007,-0.394706577062607,0,0.748083472251892,0.749980449676514,0.935973227024078,0.99879664182663,0.999987602233887,1,0.0600000023841858,2,-0.0399999991059303,0
-0.00286586722841605,-0.00236896052956581,-0.396644592285156,0,0.396921426057816,1.04857337474823,1.04998564720154,-3.36470407091838e-009,-0.394706547260284,0,0.748094320297241,0.749980390071869,0.935973227024078,0.998816251754761,0.999987542629242,1,0.0659999996423721,2,-0.034000001847744,0
-0.00289798096999719,-0.00237600621767342,-0.396637409925461,0,0.396915078163147,1.04856896400452,1.04998564720154,-2.08351238484283e-007,-0.394706547260284,0,0.748105883598328,0.749980390071869,0.935973227024078,0.998835802078247,0.999987542629242,1,0.0719999969005585,2,-0.0280000008642673,0
-0.00292454865688514,-0.00237976061180234,-0.396628350019455,0,0.396906495094299,1.04856657981873,1.04998564720154,-3.91538947042136e-007,-0.394706547260284,0,0.748118758201599,0.749980449676514,0.935973227024078,0.998855292797089,0.999987542629242,1,0.0780000016093254,2,-0.0219999998807907,0
